"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",0.508,0.069,0.502,0.056,0.052,0.44,0.091,1.285,0,2.229,0.909,0.482,0.085,1.284,0,2.379,0.915,0.215,0.024,0.908,0,2.056,0.817
"2",0.702,0.307,0.682,0.252,0.233,0.68,0.314,1.168,0.771,1.785,0.986,0.698,0.3,1.161,0.76,1.857,0.977,0.461,0.156,0.863,0.244,1.603,0.908
"3",0.844,0.717,0.827,0.64,0.594,0.868,0.673,1.015,1,1.412,1,0.874,0.664,1.006,1,1.432,1,0.742,0.458,0.757,1,1.216,1
"4",0.858,0.807,0.853,0.707,0.658,0.905,0.762,0.984,1,1.323,1,0.91,0.748,0.969,1,1.333,1,0.805,0.547,0.736,1,1.123,1
"5",0.843,0.822,0.847,0.72,0.647,0.899,0.741,0.978,1,1.335,1,0.904,0.723,0.961,1,1.347,1,0.792,0.552,0.738,1,1.136,1
"6",0.888,0.85,0.882,0.764,0.716,0.919,0.803,0.962,1,1.289,1,0.923,0.792,0.947,1,1.294,1,0.83,0.593,0.719,1,1.087,1
"7",0.874,0.869,0.878,0.777,0.724,0.923,0.803,0.964,1,1.281,1,0.927,0.79,0.952,1,1.286,1,0.835,0.605,0.73,1,1.079,1
"8",0.876,0.868,0.87,0.774,0.712,0.917,0.792,0.959,1,1.291,1,0.921,0.785,0.949,1,1.298,1,0.825,0.597,0.731,1,1.09,1
