"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",0.055,0.486,0.511,0.191,0.046,0.413,0.072,1.135,1,2.277,0.928,0.46,0.059,1.098,0.949,2.434,0.941,0.191,0.015,0.785,0.6,2.106,0.845
"2",0.292,0.693,0.668,0.409,0.218,0.673,0.318,1.033,1,1.81,0.98,0.692,0.304,1.025,1,1.886,0.971,0.458,0.151,0.782,1,1.628,0.904
"3",0.68,0.829,0.822,0.683,0.554,0.862,0.66,0.987,1,1.428,1,0.868,0.643,0.973,1,1.451,1,0.732,0.437,0.736,1,1.233,1
"4",0.812,0.849,0.865,0.741,0.671,0.895,0.743,0.961,1,1.345,1,0.9,0.738,0.954,1,1.358,1,0.789,0.543,0.733,1,1.146,1
"5",0.826,0.863,0.865,0.749,0.676,0.906,0.763,0.967,1,1.32,1,0.91,0.756,0.958,1,1.331,1,0.805,0.555,0.729,1,1.12,1
"6",0.856,0.886,0.854,0.764,0.7,0.919,0.794,0.965,1,1.298,1,0.922,0.782,0.952,1,1.305,1,0.822,0.571,0.725,1,1.098,1
"7",0.862,0.869,0.856,0.757,0.691,0.922,0.792,0.957,1,1.288,1,0.925,0.777,0.94,1,1.294,1,0.83,0.601,0.728,1,1.087,1
