"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",0.886,0,0,0,0,0.032,0,NA,NA,3.515,0.927,0.077,0,NA,NA,3.924,0.96,0.003,0,NA,NA,3.339,0.872
"2",0.876,0.058,0.064,0.014,0.013,0.311,0.031,1.266,0,2.457,0.969,0.365,0.028,1.255,0,2.641,0.972,0.12,0.006,0.986,0,2.28,0.918
"3",0.893,0.132,0.148,0.047,0.047,0.467,0.091,1.218,0.484,2.154,0.98,0.505,0.087,1.213,0.471,2.281,0.981,0.234,0.027,0.906,0,1.975,0.924
"4",0.875,0.421,0.422,0.247,0.234,0.699,0.342,1.133,0.88,1.757,1,0.714,0.328,1.125,0.857,1.823,1,0.486,0.155,0.81,0.445,1.573,0.968
"5",0.885,0.6,0.59,0.434,0.404,0.803,0.528,1.079,1,1.566,1,0.811,0.51,1.068,1,1.606,1,0.631,0.288,0.789,0.781,1.376,1
"6",0.875,0.703,0.673,0.526,0.489,0.85,0.624,1.046,1,1.457,1,0.855,0.603,1.033,1,1.482,1,0.701,0.402,0.775,1,1.264,1
"7",0.876,0.741,0.763,0.595,0.556,0.869,0.672,1.023,1,1.414,1,0.874,0.656,1.012,1,1.434,1,0.734,0.456,0.768,1,1.219,1
"8",0.892,0.774,0.79,0.651,0.609,0.884,0.71,0.992,1,1.377,1,0.889,0.693,0.978,1,1.394,1,0.768,0.498,0.745,1,1.18,1
