"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",0.881,0.876,0.878,0.783,0.726,0.926,0.806,0.957,1,1.273,1,0.929,0.798,0.945,1,1.277,1,0.838,0.616,0.726,1,1.071,1
"2",0.883,0.872,0.871,0.779,0.724,0.92,0.816,0.972,1,1.285,1,0.925,0.803,0.958,1,1.291,1,0.834,0.592,0.725,1,1.083,1
"3",0.885,0.889,0.859,0.783,0.73,0.925,0.826,0.961,1,1.273,1,0.929,0.815,0.949,1,1.277,1,0.841,0.611,0.724,1,1.07,1
"4",0.873,0.871,0.883,0.787,0.747,0.921,0.802,0.953,1,1.281,1,0.925,0.791,0.94,1,1.286,1,0.832,0.608,0.722,1,1.079,1
"5",0.872,0.847,0.884,0.761,0.704,0.919,0.792,0.962,1,1.291,1,0.923,0.784,0.951,1,1.298,1,0.827,0.584,0.722,1,1.09,1
"6",0.875,0.851,0.889,0.772,0.708,0.92,0.801,0.966,1,1.287,1,0.924,0.779,0.947,1,1.292,1,0.829,0.601,0.727,1,1.085,1
"7",0.865,0.861,0.874,0.768,0.707,0.918,0.791,0.954,1,1.287,1,0.922,0.778,0.938,1,1.292,1,0.826,0.611,0.72,1,1.084,1
"8",0.885,0.88,0.891,0.795,0.741,0.927,0.814,0.958,1,1.27,1,0.93,0.801,0.943,1,1.275,1,0.843,0.623,0.728,1,1.068,1
