"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",0.045,0.49,0.58,0.18,0.025,0.312,0.04,1.167,1,2.476,0.96,0.367,0.03,1.096,1,2.667,0.97,0.131,0.01,0.66,0,2.304,0.895
"2",0.365,0.565,0.73,0.38,0.225,0.617,0.25,1.018,1,1.892,0.965,0.642,0.23,0.989,1,1.982,0.96,0.404,0.135,0.736,1,1.711,0.91
"3",0.655,0.68,0.785,0.55,0.43,0.743,0.45,1.045,1,1.661,1,0.756,0.435,1.035,1,1.714,1,0.55,0.29,0.793,1,1.474,1
"4",0.775,0.67,0.795,0.585,0.495,0.799,0.555,1.003,1,1.536,1,0.81,0.545,0.99,1,1.574,1,0.642,0.365,0.735,1,1.343,1
"5",0.78,0.585,0.73,0.475,0.425,0.764,0.485,1.016,1,1.617,1,0.776,0.47,1.004,1,1.665,1,0.596,0.3,0.758,1,1.427,1
"6",0.77,0.705,0.73,0.575,0.485,0.794,0.54,1.014,1,1.557,1,0.805,0.525,0.997,1,1.597,1,0.637,0.34,0.724,1,1.365,1
"7",0.8,0.7,0.79,0.605,0.505,0.804,0.555,1.096,1,1.563,1,0.813,0.53,1.079,1,1.602,1,0.646,0.295,0.785,1,1.373,1
