"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59"
"1",NA,NA,NA,NA,NA,NA,NA,Inf,0.391,NA,NA,NA,NA,1.451,0.665,NA,NA,NA,NA,Inf,0.457,NA,NA,NA,NA,Inf,0.427,NA,NA,NA,NA,1.576,0.683,NA,NA,NA,NA,-Inf,0.398,NA,NA,NA,NA,Inf,0.365,NA,NA,NA,NA,1.653,0.58,NA,NA,NA,NA,Inf,0.288,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,0.405,NA,NA,NA,NA,1.941,0.649,NA,NA,NA,NA,Inf,0.381,NA,NA,NA,NA,Inf,0.468,NA,NA,NA,NA,2.087,0.703,NA,NA,NA,NA,Inf,0.423,NA,NA,NA,NA,-Inf,0.38,NA,NA,NA,NA,1.993,0.756,NA,NA,NA,NA,Inf,0.433,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,-Inf,0.429,NA,NA,NA,NA,1.99,0.705,NA,NA,NA,NA,Inf,0.387,NA,NA,NA,NA,Inf,0.525,NA,NA,NA,NA,2.405,0.691,NA,NA,NA,NA,-Inf,0.429,NA,NA,NA,NA,-Inf,0.463,NA,NA,NA,NA,1.776,0.631,NA,NA,NA,NA,2.13,0.441,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,Inf,0.457,NA,NA,NA,NA,1.357,0.644,NA,NA,NA,NA,Inf,0.46,NA,NA,NA,NA,Inf,0.465,NA,NA,NA,NA,2.044,0.64,NA,NA,NA,NA,Inf,0.419,NA,NA,NA,NA,-Inf,0.388,NA,NA,NA,NA,2.324,0.704,NA,NA,NA,NA,-0.461,0.474,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,22.057,0.453,NA,NA,NA,NA,2.861,0.638,NA,NA,NA,NA,-67.72,0.44,NA,NA,NA,NA,62.005,0.534,NA,NA,NA,NA,1.454,0.605,NA,NA,NA,NA,-180.744,0.475,NA,NA,NA,NA,3.618,0.424,NA,NA,NA,NA,4.109,0.783,NA,NA,NA,NA,64.024,0.48,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,0.466,NA,NA,NA,NA,5.391,0.764,NA,NA,NA,NA,Inf,0.422,NA,NA,NA,NA,Inf,0.503,NA,NA,NA,NA,4.99,0.652,NA,NA,NA,NA,NA,0.525,NA,NA,NA,NA,NA,0.412,NA,NA,NA,NA,3.709,0.696,NA,NA,NA,NA,Inf,0.489,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,0.896,0.475,NA,NA,NA,NA,6.895,0.714,NA,NA,NA,NA,0.436,0.474,NA,NA,NA,NA,0.623,0.559,NA,NA,NA,NA,5.539,0.628,NA,NA,NA,NA,-2.247,0.506,NA,NA,NA,NA,2.177,0.477,NA,NA,NA,NA,6.311,0.729,NA,NA,NA,NA,0.793,0.545,NA,NA
