"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",0.873,0,0,0,0,0,0,NA,NA,6.264,0.804,0.001,0,NA,NA,7.342,0.942,0,0,NA,NA,6.088,0.748
"2",0.88,0,0,0,0,0.032,0,NA,NA,3.542,0.921,0.077,0,NA,NA,3.956,0.958,0.003,0,NA,NA,3.364,0.858
"3",0.903,0.031,0.027,0.003,0.003,0.236,0.013,1.265,0,2.622,0.958,0.295,0.013,1.282,0,2.838,0.967,0.076,0.003,0.973,0,2.445,0.908
"4",0.896,0.064,0.042,0.014,0.014,0.317,0.029,1.243,0,2.438,0.971,0.37,0.026,1.23,0,2.618,0.974,0.124,0.005,0.947,0,2.261,0.913
"5",0.889,0.148,0.145,0.049,0.049,0.438,0.093,1.2,0.473,2.213,0.98,0.479,0.087,1.187,0.448,2.353,0.98,0.216,0.028,0.839,0,2.035,0.929
"6",0.891,0.327,0.307,0.166,0.158,0.619,0.255,1.15,0.718,1.894,0.987,0.643,0.245,1.141,0.71,1.981,0.98,0.396,0.101,0.821,0.158,1.712,0.932
"7",0.868,0.433,0.423,0.245,0.23,0.706,0.348,1.113,0.845,1.749,1,0.721,0.334,1.1,0.823,1.814,1,0.499,0.162,0.794,0.42,1.565,0.956
"8",0.874,0.518,0.543,0.341,0.324,0.758,0.433,1.088,1,1.646,1,0.769,0.419,1.079,0.967,1.697,1,0.564,0.224,0.785,0.625,1.46,0.987
