"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",0.053,0.468,0.497,0.171,0.04,0.415,0.074,1.086,0.986,2.265,0.926,0.462,0.068,1.081,0.985,2.418,0.932,0.198,0.025,0.813,0.68,2.093,0.836
"2",0.295,0.678,0.69,0.424,0.216,0.676,0.304,1.039,1,1.809,0.984,0.695,0.284,1.02,1,1.884,0.98,0.46,0.136,0.749,1,1.628,0.92
"3",0.71,0.827,0.839,0.689,0.577,0.864,0.668,0.978,1,1.422,1,0.87,0.652,0.964,1,1.444,1,0.734,0.452,0.738,1,1.227,1
"4",0.787,0.866,0.827,0.719,0.634,0.898,0.731,0.964,1,1.343,1,0.902,0.716,0.949,1,1.355,1,0.788,0.522,0.722,1,1.144,1
"5",0.829,0.871,0.863,0.762,0.676,0.907,0.787,0.959,1,1.314,1,0.912,0.78,0.948,1,1.323,1,0.813,0.567,0.72,1,1.114,1
"6",0.865,0.859,0.885,0.767,0.714,0.914,0.791,0.965,1,1.301,1,0.918,0.778,0.951,1,1.309,1,0.821,0.592,0.738,1,1.101,1
"7",0.863,0.881,0.872,0.784,0.721,0.917,0.802,0.962,1,1.292,1,0.921,0.793,0.951,1,1.3,1,0.83,0.606,0.732,1,1.091,1
"8",0.863,0.868,0.858,0.754,0.693,0.916,0.783,0.949,1,1.293,1,0.92,0.769,0.934,1,1.299,1,0.821,0.588,0.713,1,1.091,1
