"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",0,0,0,0,0,0,0,NA,NA,6.083,0.734,0.003,0,NA,NA,7.121,0.901,0,0,NA,NA,5.925,0.694
"2",0,0.146,0.14,0.002,0,0.065,0,NA,NA,3.35,0.852,0.124,0,NA,NA,3.729,0.922,0.007,0,NA,NA,3.189,0.775
"3",0.021,0.418,0.44,0.117,0.017,0.347,0.042,1.163,1,2.42,0.897,0.399,0.035,1.147,1,2.604,0.913,0.144,0.005,0.901,0.6,2.251,0.803
"4",0.062,0.517,0.477,0.171,0.041,0.426,0.084,1.109,1,2.247,0.916,0.472,0.077,1.093,1,2.398,0.923,0.206,0.024,0.817,0.583,2.075,0.822
"5",0.134,0.584,0.577,0.274,0.101,0.544,0.162,1.064,1,2.029,0.953,0.577,0.15,1.044,1,2.14,0.952,0.308,0.056,0.779,0.75,1.853,0.874
"6",0.323,0.696,0.722,0.46,0.251,0.699,0.349,1.034,1,1.759,0.981,0.716,0.328,1.02,1,1.825,0.971,0.488,0.168,0.777,1,1.576,0.904
"7",0.411,0.739,0.745,0.512,0.317,0.748,0.419,1.006,1,1.672,1,0.76,0.404,0.999,1,1.725,1,0.549,0.214,0.736,1,1.486,0.944
"8",0.53,0.768,0.786,0.584,0.41,0.8,0.526,1.012,1,1.561,1,0.809,0.505,0.997,1,1.6,1,0.629,0.313,0.756,1,1.372,0.983
