"","Pair_R1_R2","Pair_R1_T","Pair_R2_T","Pair_123","Orig_Power","Orig_CI1_CR","Orig_CI2_CR","Inte_Power","Inte_CI1_CR","Inte_CI2_CR","LF_Power","LF_CI1_CR","LF_CI2_CR"
"1",0.508,0.069,0.502,0.052,0.091,0,0.909,0.085,0,0.915,0.024,0,0.817
"2",0.702,0.307,0.682,0.233,0.314,0.771,0.986,0.3,0.76,0.977,0.156,0.244,0.908
"3",0.844,0.717,0.827,0.594,0.673,1,1,0.664,1,1,0.458,1,1
"4",0.858,0.807,0.853,0.658,0.762,1,1,0.748,1,1,0.547,1,1
"5",0.843,0.822,0.847,0.647,0.741,1,1,0.723,1,1,0.552,1,1
"6",0.888,0.85,0.882,0.716,0.803,1,1,0.792,1,1,0.593,1,1
"7",0.874,0.869,0.878,0.724,0.803,1,1,0.79,1,1,0.605,1,1
"8",0.876,0.868,0.87,0.712,0.792,1,1,0.785,1,1,0.597,1,1
