"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",0.89,0.327,0.315,0.164,0.163,0.624,0.255,1.17,0.729,1.892,0.993,0.645,0.245,1.163,0.731,1.978,0.983,0.395,0.1,0.837,0.21,1.711,0.941
"2",0.891,0.676,0.653,0.504,0.477,0.844,0.604,1.032,1,1.472,1,0.85,0.586,1.02,1,1.499,1,0.696,0.381,0.77,1,1.279,1
"3",0.9,0.821,0.82,0.704,0.682,0.905,0.757,0.957,1,1.322,1,0.909,0.75,0.946,1,1.332,1,0.806,0.572,0.737,1,1.121,1
"4",0.888,0.852,0.855,0.74,0.702,0.917,0.794,0.961,1,1.293,1,0.921,0.786,0.949,1,1.3,1,0.824,0.605,0.728,1,1.092,1
"5",0.891,0.882,0.869,0.785,0.735,0.928,0.824,0.959,1,1.268,1,0.932,0.815,0.947,1,1.272,1,0.844,0.626,0.732,1,1.066,1
"6",0.88,0.876,0.882,0.79,0.737,0.92,0.809,0.953,1,1.28,1,0.924,0.796,0.938,1,1.286,1,0.834,0.631,0.727,1,1.078,1
"7",0.889,0.873,0.879,0.792,0.744,0.926,0.821,0.951,1,1.268,1,0.93,0.812,0.94,1,1.272,1,0.841,0.639,0.73,1,1.065,1
"8",0.89,0.875,0.89,0.799,0.744,0.926,0.811,0.954,1,1.274,1,0.93,0.801,0.943,1,1.278,1,0.839,0.605,0.722,1,1.072,1
