"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",0.889,0.058,0.063,0.012,0.011,0.309,0.027,1.3,0,2.467,0.973,0.362,0.02,1.238,0,2.652,0.98,0.121,0.005,0.942,0,2.289,0.922
"2",0.869,0.694,0.673,0.522,0.492,0.833,0.595,1.031,1,1.488,1,0.84,0.583,1.022,1,1.518,1,0.682,0.376,0.765,1,1.296,1
"3",0.894,0.84,0.846,0.732,0.685,0.908,0.782,0.975,1,1.315,1,0.913,0.774,0.966,1,1.324,1,0.812,0.57,0.738,1,1.115,1
"4",0.872,0.881,0.869,0.781,0.724,0.922,0.814,0.972,1,1.288,1,0.926,0.802,0.961,1,1.294,1,0.833,0.599,0.733,1,1.087,1
"5",0.878,0.871,0.863,0.762,0.697,0.925,0.803,0.976,1,1.285,1,0.928,0.787,0.962,1,1.289,1,0.833,0.586,0.733,1,1.083,1
"6",0.877,0.866,0.858,0.76,0.703,0.918,0.787,0.964,1,1.297,1,0.922,0.778,0.953,1,1.305,1,0.826,0.588,0.731,1,1.097,1
"7",0.857,0.884,0.874,0.778,0.705,0.922,0.803,0.955,1,1.28,1,0.926,0.794,0.943,1,1.285,1,0.833,0.608,0.718,1,1.078,1
"8",0.882,0.884,0.886,0.791,0.743,0.929,0.809,0.943,1,1.262,1,0.933,0.795,0.927,1,1.265,1,0.844,0.634,0.718,1,1.059,1
