"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59"
"1",0.1,0.41,0.585,0.155,0.045,0.351,0.07,1.042,0.929,2.398,0.93,0.403,0.06,0.983,0.833,2.576,0.94,0.171,0.03,0.731,0.5,2.224,0.85,0.318,0.02,1.097,1,2.834,0.98,0.372,0.02,1.137,1,2.995,0.98,0.153,0.005,0.942,1,2.79,0.965,0.325,0.025,1.314,1,2.719,0.975,0.379,0.04,1.216,1,2.684,0.96,0.125,0,NA,NA,3.713,1
"2",0.325,0.605,0.645,0.35,0.185,0.587,0.23,1.089,1,1.97,0.995,0.613,0.225,1.089,1,2.073,0.995,0.376,0.105,0.855,1,1.79,0.94,0.512,0.055,1.283,1,2.472,1,0.547,0.045,1.273,1,2.557,1,0.309,0.005,1.067,1,2.435,1,0.542,0.055,1.254,1,2.337,1,0.586,0.115,1.181,1,2.198,1,0.297,0.01,0.979,1,3.21,1
"3",0.63,0.7,0.74,0.555,0.43,0.751,0.505,0.997,1,1.647,1,0.765,0.485,0.975,1,1.704,1,0.582,0.34,0.723,1,1.457,1,0.641,0.14,1.206,1,2.215,1,0.666,0.135,1.199,1,2.258,1,0.45,0.02,0.988,1,2.18,1,0.678,0.175,1.207,1,2.065,1,0.724,0.29,1.114,1,1.898,1,0.468,0.02,1.002,1,2.833,1
"4",0.765,0.72,0.74,0.545,0.475,0.783,0.5,0.982,1,1.569,1,0.794,0.485,0.97,1,1.611,1,0.62,0.345,0.739,1,1.377,1,0.664,0.155,1.131,1,2.169,1,0.687,0.15,1.122,1,2.196,1,0.479,0.025,0.926,1,2.138,1,0.706,0.18,1.154,1,2.014,1,0.756,0.31,1.088,1,1.832,1,0.503,0.035,0.874,1,2.771,1
"5",0.825,0.655,0.77,0.59,0.53,0.8,0.54,0.983,1,1.545,1,0.81,0.525,0.964,1,1.584,1,0.638,0.36,0.745,1,1.353,1,0.692,0.155,1.195,1,2.095,1,0.713,0.155,1.184,1,2.119,1,0.502,0.025,0.959,1,2.06,1,0.732,0.235,1.221,1,1.943,1,0.782,0.39,1.132,1,1.778,1,0.536,0.02,0.876,1,2.654,1
"6",0.83,0.665,0.75,0.555,0.49,0.808,0.575,1.002,1,1.531,1,0.818,0.555,0.98,1,1.569,1,0.663,0.36,0.731,1,1.339,1,0.69,0.18,1.19,1,2.111,1,0.71,0.18,1.18,1,2.137,1,0.505,0.015,0.979,1,2.078,1,0.728,0.22,1.243,1,1.983,1,0.78,0.325,1.116,1,1.804,1,0.529,0.035,0.916,1,2.731,1
"7",0.83,0.7,0.825,0.64,0.56,0.794,0.575,0.984,1,1.552,1,0.805,0.575,0.978,1,1.595,1,0.652,0.415,0.749,1,1.358,1,0.686,0.175,1.132,1,2.168,1,0.705,0.175,1.122,1,2.188,1,0.509,0.045,0.85,1,2.134,1,0.729,0.235,1.155,1,2.001,1,0.781,0.375,1.074,1,1.805,1,0.545,0.06,0.844,1,2.75,1
