"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",0.085,0.515,0.53,0.225,0.055,0.426,0.12,1.115,1,2.269,0.88,0.469,0.11,1.084,1,2.425,0.89,0.224,0.025,0.847,0.6,2.097,0.795
"2",0.335,0.69,0.705,0.43,0.275,0.696,0.35,1.075,1,1.759,0.985,0.712,0.335,1.076,1,1.824,0.975,0.474,0.145,0.805,1,1.577,0.91
"3",0.635,0.82,0.805,0.67,0.505,0.85,0.595,0.979,1,1.459,1,0.855,0.595,0.972,1,1.484,1,0.693,0.4,0.727,1,1.267,1
"4",0.835,0.84,0.89,0.745,0.685,0.904,0.77,0.972,1,1.332,1,0.908,0.75,0.952,1,1.344,1,0.797,0.535,0.719,1,1.133,1
"5",0.8,0.83,0.82,0.715,0.645,0.883,0.695,0.967,1,1.368,1,0.888,0.68,0.954,1,1.384,1,0.765,0.53,0.75,1,1.17,1
"6",0.825,0.865,0.875,0.76,0.675,0.929,0.775,0.922,1,1.27,1,0.93,0.765,0.906,1,1.271,1,0.833,0.59,0.683,1,1.066,1
"7",0.895,0.875,0.87,0.765,0.725,0.936,0.825,0.963,1,1.258,1,0.94,0.82,0.953,1,1.261,1,0.854,0.645,0.733,1,1.056,1
