"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",0.081,0.48,0.597,0.178,0.053,0.372,0.072,1.103,1,2.374,0.928,0.421,0.07,1.108,0.986,2.547,0.93,0.175,0.022,0.902,0.818,2.2,0.854
"2",0.34,0.629,0.639,0.361,0.21,0.592,0.249,1.047,1,1.954,0.979,0.619,0.235,1.028,1,2.054,0.969,0.382,0.126,0.763,1,1.773,0.914
"3",0.667,0.634,0.718,0.489,0.379,0.738,0.442,1.027,1,1.684,1,0.751,0.429,1.017,1,1.743,1,0.558,0.265,0.753,1,1.496,1
"4",0.772,0.696,0.772,0.576,0.495,0.794,0.536,1.002,1,1.558,1,0.805,0.525,0.991,1,1.598,1,0.631,0.34,0.74,1,1.367,1
"5",0.798,0.657,0.759,0.55,0.482,0.788,0.534,1.02,1,1.569,1,0.798,0.516,1.002,1,1.611,1,0.625,0.353,0.753,1,1.378,1
"6",0.806,0.683,0.752,0.58,0.5,0.804,0.556,1,1,1.548,1,0.813,0.54,0.986,1,1.589,1,0.649,0.358,0.742,1,1.356,1
"7",0.833,0.727,0.778,0.62,0.556,0.82,0.603,0.999,1,1.507,1,0.829,0.59,0.987,1,1.541,1,0.678,0.392,0.745,1,1.313,1
