"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59"
"1",0.071,0.483,0.554,0.153,0.036,0.371,0.056,1.084,0.982,2.352,0.944,0.42,0.051,1.074,0.882,2.52,0.949,0.166,0.02,0.799,0.6,2.177,0.874,0.337,0.014,1.188,0.929,2.771,0.986,0.391,0.011,1.151,0.909,2.924,0.989,0.156,0.002,0.889,0.5,2.728,0.978,0.349,0.015,1.212,0.933,2.664,0.985,0.398,0.029,1.169,0.862,2.61,0.972,0.125,0.002,0.823,0.5,3.639,0.998
"2",0.317,0.59,0.653,0.354,0.198,0.591,0.242,1.063,1,1.954,0.986,0.618,0.229,1.052,1,2.055,0.983,0.383,0.109,0.794,1,1.774,0.928,0.514,0.069,1.194,1,2.457,1,0.55,0.068,1.213,1,2.542,1,0.312,0.005,0.923,1,2.421,0.998,0.537,0.07,1.211,1,2.335,0.999,0.583,0.134,1.16,1,2.197,0.997,0.294,0.006,0.846,1,3.2,1
"3",0.619,0.649,0.727,0.497,0.376,0.742,0.434,1.019,1,1.662,1,0.755,0.422,1.007,1,1.717,1,0.555,0.261,0.741,1,1.475,1,0.641,0.133,1.193,1,2.194,1,0.665,0.133,1.2,1,2.236,1,0.442,0.015,0.875,1,2.159,1,0.669,0.148,1.21,1,2.088,1,0.716,0.26,1.129,1,1.912,1,0.447,0.018,0.852,1,2.87,1
"4",0.778,0.676,0.753,0.551,0.477,0.785,0.532,1.004,1,1.581,1,0.796,0.514,0.987,1,1.625,1,0.629,0.342,0.749,1,1.39,1,0.674,0.145,1.148,1,2.147,1,0.695,0.15,1.163,1,2.176,1,0.486,0.015,0.921,1,2.115,1,0.709,0.182,1.201,1,2.014,1,0.759,0.33,1.125,1,1.831,1,0.507,0.029,0.906,1,2.77,1
"5",0.798,0.685,0.768,0.589,0.506,0.803,0.551,0.992,1,1.544,1,0.813,0.541,0.982,1,1.584,1,0.654,0.379,0.747,1,1.352,1,0.688,0.178,1.178,1,2.111,1,0.708,0.179,1.18,1,2.135,1,0.504,0.028,0.92,1,2.077,1,0.726,0.204,1.203,1,1.978,1,0.777,0.351,1.116,1,1.793,1,0.531,0.029,0.877,1,2.717,1
"6",0.805,0.695,0.766,0.587,0.519,0.807,0.58,1.01,1,1.532,1,0.817,0.56,0.994,1,1.569,1,0.657,0.37,0.744,1,1.34,1,0.693,0.187,1.173,1,2.097,1,0.713,0.184,1.168,1,2.12,1,0.509,0.027,0.9,1,2.063,1,0.731,0.22,1.207,1,1.96,1,0.781,0.357,1.105,1,1.773,1,0.535,0.031,0.869,1,2.689,1
"7",0.809,0.687,0.768,0.592,0.524,0.803,0.572,1,1,1.537,1,0.814,0.559,0.989,1,1.577,1,0.655,0.377,0.738,1,1.345,1,0.684,0.157,1.19,1,2.156,1,0.705,0.159,1.187,1,2.176,1,0.502,0.021,0.948,1,2.123,1,0.724,0.204,1.231,1,2.004,1,0.774,0.357,1.138,1,1.812,1,0.531,0.026,0.888,1,2.761,1
